Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x81698276501b7f5aa61c8eece6c95f1a15a8adc1,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x81698276501b7f5aa61c8eece6c95f1a15a8adc1,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0xa61771f9a4ec00242ddeb74f26a050f204b54356,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0xa61771f9a4ec00242ddeb74f26a050f204b54356,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0x8e6217dbfb6c810e8eb378789f06871af91bd108,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x8e6217dbfb6c810e8eb378789f06871af91bd108,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0x5a3d077d05d1c7e146e0ccafdfc91aeeee79e32d,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x5a3d077d05d1c7e146e0ccafdfc91aeeee79e32d,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0xf0dab909360548b398964e38a00ef4a3a9702678,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0xf0dab909360548b398964e38a00ef4a3a9702678,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0x1fc658162b5482bd657e74d683d91f93a1a50829,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x1fc658162b5482bd657e74d683d91f93a1a50829,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0x45c0363bc47996c44617de8131024a74d7a0d85a,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0x45c0363bc47996c44617de8131024a74d7a0d85a,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
0xa77f9b20e14d9e2ca7b9f2ebdd7b586a18060369,OpenZeppelin Proxy Pattern,2019,AdminChanged,"previousAdmin: address, newAdmin: address"
0xa77f9b20e14d9e2ca7b9f2ebdd7b586a18060369,OpenZeppelin Proxy Pattern,2019,Upgraded,implementation: address
